path,avg_red,avg_orange,avg_yellow,avg_green,avg_blue,avg_violet,avg_black,avg_grey,avg_white,avg_saturation,avg_value,code_img,cote,institution,institution_country,folio,type,columns,title,author,illuminator,language,century,date,country,region,city,sword,holofernes_naked,action,blood,stripes,holofernes_crowned
AlenconBM54.jpg,0.019549893591476793,0.004142860432146887,0.006137814661680103,0.003942213757783282,0.048497287980606346,3.2892897436656503e-6,0.05570247716410595,0.15283191400480894,0.12479894216441843,0.2769289019890013,0.5303328045316351,Alencon,54,Bibliothheque municipale - Alencon,France,152v,Historiated lettrine,2,Parisian Bible,Not applicable,Unknown,Latin,13th,1240-1250,France,Ile-de-France,Paris,Two-hands_sword,Naked,Sword_beheading,No_blood,No_stripes,Crowned
AmiensBM108.jpg,0.0010586146805426622,0.057212423250435664,0.009130144460187945,0.034496180843960195,0,0,0.013009560104884285,0.19303757267796942,0.12728620055047962,0.2526093513675801,0.6134215799640487,Amiens,108,Bibliotheque municipale - Amiens,France,144r,Half-page miniature,Unknown,Bible,Not applicable,Unknown,Latin,12th,1197,Spain,Navarre,Pampelune,One-hand_sword,Not_naked,Sword_beheading,Blood,No_stripes,Crowned
AmiensBM23.jpg,0.06992648515139864,0.04121957755175748,0.007867991720356196,3.2233134885960725e-4,0.004015549574949806,2.33010613633451e-5,0.06665656954007589,0.21106489733940714,0.05561186645385031,0.3335769080049046,0.4239723603723875,Amiens,23,Bibliotheque municipale - Amiens,France,143r,Historiated lettrine,2,Parisian Bible,Not applicable,Unknown,Latin,13th,1200-1225,France,Picardie?,Corbie?,One-hand_sword,Not_naked,Sword_beheading,Blood,No_stripes,Crowned
ArlesBM1.jpg,0.04844693432928727,0.001406784936196701,4.0149393090569563e-4,3.1123560535325243e-6,0.05644568938686586,0,0.06801742919389978,0.2627824463118581,0.0025334578275754745,0.2714954684690789,0.34996386005382546,Arles,1,Bibliotheque municipale - Arles,France,217v,Historiated lettrine,2,Parisian Bible,Not applicable,Unknown,Latin,13th,1250-1275,France,South?,Unknown,One-hand_sword,Naked,Raised_sword_pre_kill,No_blood,No_stripes,Crowned
Arsenal590.jpg,0.04363951076928101,0.012588056630578553,3.0699390911020756e-5,0,0.08557422557520535,5.819820702493509e-4,0.01698590767321478,0.2832717712568788,0.033075654403239764,0.2738529798827629,0.4615221480352294,Arsenal,Arsenal 590,BnF,France,212r,Historiated lettrine,2,Parisian Bible,Not applicable,Unknown,Latin,14th,ca. 1300,France,Ile-de-France,Paris,Two-hands_sword,Not_naked,Sword_beheading,Blood,No_stripes,Crowned
Arsenal593.jpg,0.05816763911705281,0.20998319454672482,8.811848159267861e-4,0,0,0,0.0014822787439339867,0.26423900249878834,0.06761205209061097,0.45768434945557557,0.5397519378352498,Arsenal,Arsenal 593,BnF,France,24r,One-column miniature,2,Speculum humanae salvationis,Ludolphe le Chartreux,Unknown,Latin,14th,1324,Italy,Emilia-Romagna,Bologne,One-hand_sword,Not_naked,Sword_beheading,Blood,No_stripes,Crowned
AutunBM146A.jpg,0.027353365588659705,0.011363636363636364,5.941770647653001e-4,7.851625498684322e-4,0.04438290467702232,0,0.10275549613784908,0.19058759867583397,0.039990238519650285,0.3254851422121822,0.3672610933856609,Autun,146a,Bibliotheque municipale - Autun,France,208v,Historiated lettrine,2,Parisian Bible,Not applicable,Unknown,Latin,13th,1270-1280,France,Ile-de-France,Paris,One-hand_sword,Naked,Sword_beheading,Blood,No_stripes,Not_crowned
AutunBM197.jpg,0.02628265270850822,0.0018476453837670567,2.2632627195364838e-4,0.015937484568663274,0.09973993053840963,0,0.0750086415485655,0.22684064984445212,0.031484041940315705,0.4776064597350512,0.3540329001747029,Autun,197,Bibliotheque municipale - Autun,France,179v,Historiated lettrine,2,Parisian Bible,Not applicable,Unknown,Latin,13th,1250-1300,Italy,Veneto,Padoue? Venise?,One-hand_sword,Naked,Beheaded,Blood,No_stripes,Crowned
AvranchesBM2.jpg,0.04215254287579372,0.021845472408495374,0.015536911755978874,0.0041095483947540205,0.020147172274642456,0,0.07278891295603954,0.23175182481751824,0.02879259555977555,0.27036634480946053,0.3899276049377546,Avranches,2,Bibliotheque municipale - Avranches,France,244v,Historiated lettrine,2,Parisian Bible,Not applicable,Unknown,Latin,13th,1200-1210,France,Normandie?,Unknown,One-hand_sword,Naked,Sword_beheading,Blood,No_stripes,Not_crowned
Bancroft_UCB146.jpg,0.05191256830601093,0.011437818608574467,3.209007224850552e-5,0,0.024805625848094766,3.667436828400631e-5,6.647229251476143e-4,0.328542743976235,0.004125866431950709,0.21627636742597078,0.4407508861174572,Bancroft,UCB 146,Bancroft Library - Berkeley,United States of America,192r,Historiated lettrine,2,Parisian Bible,Not applicable,Unknown,Latin,13th,1250-1275,France,Unknown,Unknown,One-hand_sword,Not_naked,Sword_beheading,Blood,No_stripes,Not_crowned
